Symbol,Day,Open,CloseDiff,SpreadOverLow,Volume,NextLow,TwoDayHigh,ThreeDayOpen
CBK,20160923,1.4,0.08571429,9.629256,685300,1.42,1.55,1.51
CBK,20170314,1.24,-0.03225803,5.179076,500200,1.15,1.3,1.26
CBM,20090127,3.96,-0.03030306,4.957903,213000,3.67,3.98,3.52
CBM,20100625,3.45,-0.01449274,12.45331,1327300,3.29,3.31,3.2
CBM,20110608,4.55,-0.02417585,7.359908,74300,4.23,4.38,4.28
CBS,20090330,4.2,-0.09761901,6.38171,1.61986E+07,3.65,3.9,4.02
CBS,20090512,7.73,-0.08796893,5.874885,2.28207E+07,6.32,6.99,6.85
CBS.A,20090406,4.93,-0.002028347,10.03894,45300,4.75,5.12,5.25
CC,20060412,25.25,0.05544553,5.286075,1.05481E+07,26.62,27.31,27.1
CC,20070920,9.52,-0.08928575,7.91173,3.93377E+07,8.42,8.67,8
CC,20071221,5.06,-0.06126481,8.831968,4.59591E+07,4.64,4.95,4.6
CC,20150709,13.04,-0.09432512,6.743406,1.04851E+07,11.15,11.66,11.24
CC,20160520,10.29,-0.03109812,5.156785,3671200,8.94,9.7,9.31
CCC,20070705,12.01,0.06744375,6.285712,1281700,12.67,13.24,13.05
CCC,20070808,13.1,0.01068698,4.720292,1500000,11.8,12.83,13
CCC,20080929,20.42,-0.0455436,12.61459,1781100,18.82,20.55,18.11
CCJ,20081016,13.68,0.03362573,5.133493,7189900,13.6,16,15.38
CCO,20131203,10.02,0.0009979316,4.344967,3264200,9.14,9.39,9.04
CDE,20070705,37.3,0.06970516,7.719293,1.71124E+07,39.4,41.8,41.2
CDE,20080912,14.4,0.09027779,5.603799,1.22757E+07,14.7,14.7,14.4
CDE,20081107,6.1,-0.04918028,6.101924,6434500,5,5.8,5.5
CDE,20141223,4.88,-0.01639343,5.197295,3271300,4.78,5.44,5.27
CEM,20060622,9.35,0.01176467,4.807283,2670100,9.23,9.3,9.2
CEM,20090210,0.5,0.05999994,9.76707,2364600,0.53,0.62,0.6
CF,20060224,3.38,0.09171595,10.61761,928600,3.488,3.59,3.53
CF,20070427,8.514,0.0119803,9.646329,2479200,7.902,8.016,7.764
CGA,20101027,7.19,0.07788594,7.518786,1186100,7.32,7.5,7.38
CGA,20110620,3.86,-0.07253885,10.53402,294000,3.43,5.28,4.5
CGA,20120726,4.14,-0.05072459,5.815407,108100,3.83,3.95,3.97
CGA,20131004,4.73,0.04651158,6.26368,449400,4.8,4.84,4.19
CGA,20140904,2.45,-0.02040814,6.494256,481100,2.33,2.43,2.32
CGI,20140807,19.99,0.07153578,6.537084,541300,21.02,21.72,21.4
CGI,20170413,4.8,-0.03125002,6.354044,452400,4.5,4.5,4.4
CGI,20170901,5.05,0.05940588,5.552925,731400,4.95,5.5,5.4
CHH,20170216,58.5,0.06923076,6.283763,692700,61.9,62.85,61.15
CHK,20160225,2.64,-0.03030309,6.789722,3.97193E+07,2.65,2.82,2.64
CHK,20160516,4.19,-0.0692124,6.370963,4.1098E+07,3.87,4.06,3.78
CHK,20160816,5.6,0.05535713,5.545691,7.70685E+07,5.5,6.25,6.14
CHK-D,20160711,22.85,-0.01881839,5.086266,8100,22.51,24,23.05
CHS,20070104,19.9,0.07236183,5.367936,4566100,20.48,20.86,20.5
